DPID2,CHAMBER_NAME
315,W+2_RB1in_S01
316,W+2_RB1out_S01
317,W+2_RB2in_S01
318,W+2_RB2out_S01
319,W+2_RB3-_S01
320,W+2_RB3+_S01
322,W+2_RB4-_S01
323,W+2_RB4+_S01
324,W+2_RB1in_S02
325,W+2_RB1out_S02
326,W+2_RB2in_S02
327,W+2_RB2out_S02
329,W+2_RB3-_S02
330,W+2_RB3+_S02
331,W+2_RB4-_S02
332,W+2_RB4+_S02
333,W+2_RB1in_S03
334,W+2_RB1out_S03
336,W+2_RB2in_S03
337,W+2_RB2out_S03
338,W+2_RB3-_S03
339,W+2_RB3+_S03
340,W+2_RB4-_S03
341,W+2_RB4+_S03
343,W+2_RB1in_S04
344,W+2_RB1out_S04
345,W+2_RB2in_S04
346,W+2_RB2out_S04
347,W+2_RB3-_S04
348,W+2_RB3+_S04
350,W+2_RB4--_S04
351,W+2_RB4-_S04
352,W+2_RB4+_S04
353,W+2_RB4++_S04
354,W+2_RB1in_S05
355,W+2_RB1out_S05
357,W+2_RB2in_S05
358,W+2_RB2out_S05
359,W+2_RB3-_S05
360,W+2_RB3+_S05
361,W+2_RB4-_S05
362,W+2_RB4+_S05
364,W+2_RB1in_S06
365,W+2_RB1out_S06
366,W+2_RB2in_S06
367,W+2_RB2out_S06
368,W+2_RB3-_S06
369,W+2_RB3+_S06
371,W+2_RB4-_S06
372,W+2_RB4+_S06
373,W+2_RB1in_S07
374,W+2_RB1out_S07
375,W+2_RB2in_S07
376,W+2_RB2out_S07
378,W+2_RB3-_S07
379,W+2_RB3+_S07
380,W+2_RB4-_S07
381,W+2_RB4+_S07
382,W+2_RB1in_S08
383,W+2_RB1out_S08
385,W+2_RB2in_S08
386,W+2_RB2out_S08
387,W+2_RB3-_S08
388,W+2_RB3+_S08
389,W+2_RB4-_S08
390,W+2_RB4+_S08
392,W+2_RB1in_S09
393,W+2_RB1out_S09
394,W+2_RB2in_S09
395,W+2_RB2out_S09
396,W+2_RB3-_S09
397,W+2_RB3+_S09
399,W+2_RB4_S09
400,W+2_RB1in_S10
401,W+2_RB1out_S10
402,W+2_RB2in_S10
403,W+2_RB2out_S10
404,W+2_RB3-_S10
406,W+2_RB3+_S10
407,W+2_RB4-_S10
408,W+2_RB4+_S10
409,W+2_RB1in_S11
410,W+2_RB1out_S11
411,W+2_RB2in_S11
413,W+2_RB2out_S11
414,W+2_RB3-_S11
415,W+2_RB3+_S11
416,W+2_RB4_S11
417,W+2_RB1in_S12
418,W+2_RB1out_S12
420,W+2_RB2in_S12
421,W+2_RB2out_S12
422,W+2_RB3-_S12
423,W+2_RB3+_S12
424,W+2_RB4-_S12
425,W+2_RB4+_S12
2928,W+1_RB1in_S01
2929,W+1_RB1out_S01
2930,W+1_RB2in_S01
2931,W+1_RB2out_S01
2932,W+1_RB3-_S01
2933,W+1_RB3+_S01
2935,W+1_RB4-_S01
2936,W+1_RB4+_S01
2937,W+1_RB1in_S02
2938,W+1_RB1out_S02
2939,W+1_RB2in_S02
2940,W+1_RB2out_S02
2942,W+1_RB3-_S02
2943,W+1_RB3+_S02
2944,W+1_RB4-_S02
2945,W+1_RB4+_S02
2946,W+1_RB1in_S03
2947,W+1_RB1out_S03
2949,W+1_RB2in_S03
2950,W+1_RB2out_S03
2951,W+1_RB3-_S03
2952,W+1_RB3+_S03
2953,W+1_RB4-_S03
2954,W+1_RB4+_S03
2956,W+1_RB1in_S04
2957,W+1_RB1out_S04
2958,W+1_RB2in_S04
2959,W+1_RB2out_S04
2960,W+1_RB3-_S04
2961,W+1_RB3+_S04
2963,W+1_RB4--_S04
2964,W+1_RB4-_S04
2965,W+1_RB4+_S04
2966,W+1_RB4++_S04
2967,W+1_RB1in_S05
2968,W+1_RB1out_S05
2970,W+1_RB2in_S05
2971,W+1_RB2out_S05
2972,W+1_RB3-_S05
2973,W+1_RB3+_S05
2974,W+1_RB4-_S05
2975,W+1_RB4+_S05
2977,W+1_RB1in_S06
2978,W+1_RB1out_S06
2979,W+1_RB2in_S06
2980,W+1_RB2out_S06
2981,W+1_RB3-_S06
2982,W+1_RB3+_S06
2984,W+1_RB4-_S06
2985,W+1_RB4+_S06
2986,W+1_RB1in_S07
2987,W+1_RB1out_S07
2988,W+1_RB2in_S07
2989,W+1_RB2out_S07
2991,W+1_RB3-_S07
2992,W+1_RB3+_S07
2993,W+1_RB4-_S07
2994,W+1_RB4+_S07
2995,W+1_RB1in_S08
2996,W+1_RB1out_S08
2998,W+1_RB2in_S08
2999,W+1_RB2out_S08
3000,W+1_RB3-_S08
3001,W+1_RB3+_S08
3002,W+1_RB4-_S08
3003,W+1_RB4+_S08
3005,W+1_RB1in_S09
3006,W+1_RB1out_S09
3007,W+1_RB2in_S09
3008,W+1_RB2out_S09
3009,W+1_RB3-_S09
3010,W+1_RB3+_S09
3012,W+1_RB4_S09
3013,W+1_RB1in_S10
3014,W+1_RB1out_S10
3015,W+1_RB2in_S10
3016,W+1_RB2out_S10
3017,W+1_RB3-_S10
3019,W+1_RB3+_S10
3020,W+1_RB4-_S10
3021,W+1_RB4+_S10
3022,W+1_RB1in_S11
